,Team,Player,Games,Kicks,Handballs,Disposals,Contested Possessions,Metres Gained,Marks,Tackles,Hitouts,Fantasy,Goals,Behinds,Score,Year
303,Geelong,Rene Caris,2,4,6,10,5,89,1,4,23,64,0,0,0,2020.0
304,Adelaide,Renee Forth,6,56,11,67,31,952,12,17,0,281,0,0,0,2020.0
305,Geelong,Renee Garing,6,25,42,67,39,517,3,23,0,255,1,1,7,2020.0
306,Brisbane,Rheanne Lugg,7,53,27,80,20,1151,21,12,0,335,3,0,18,2020.0
307,Adelaide,Rhiannon Metcalfe,2,3,3,6,4,131,1,2,8,32,1,1,7,2020.0
308,St Kilda,Rhiannon Watt,6,22,41,63,39,469,15,9,53,284,1,0,6,2020.0
309,Geelong,Richelle Cranston,6,46,37,83,44,1311,12,16,6,353,5,4,34,2020.0
310,St Kilda,Rosie Dillon,6,34,47,81,53,757,7,35,0,350,0,0,0,2020.0
311,Fremantle,Roxanne Roux,6,34,6,40,25,931,13,12,30,255,5,3,33,2020.0
312,Collingwood,Ruby Schleicher,2,8,3,11,5,262,1,2,0,38,0,0,0,2020.0
313,Fremantle,Sabreena Duffy,7,44,14,58,33,1040,10,11,0,300,12,9,81,2020.0
314,Richmond,Sabrina Frederick,6,30,15,45,27,793,15,13,26,258,3,7,25,2020.0
315,Gold Coast,Sally Riley,4,9,17,26,13,302,3,4,1,79,0,0,0,2020.0
316,Gold Coast,Sam Virgo,7,42,14,56,22,1014,9,8,0,205,0,0,0,2020.0
317,St Kilda,Sammie Johnson,1,7,5,12,5,143,2,2,0,45,0,0,0,2020.0
318,Adelaide,Sarah Allan,6,51,24,75,26,1197,21,11,1,302,0,0,0,2020.0
319,Collingwood,Sarah D'Arcy,7,39,25,64,32,798,21,12,0,307,4,11,35,2020.0
320,Collingwood,Sarah Dargan,4,8,20,28,23,182,2,10,0,105,0,1,1,2020.0
321,Fremantle,Sarah Garstone,1,1,2,3,2,15,0,4,0,20,0,0,0,2020.0
322,GWS Giants,Sarah Halvorsen,2,8,2,10,4,214,4,4,1,61,1,0,6,2020.0
323,Carlton,Sarah Hosking,7,51,31,82,28,738,18,22,0,366,2,1,13,2020.0
324,Melbourne,Sarah Lampard,6,24,27,51,17,468,9,9,0,191,1,0,6,2020.0
325,Melbourne,Sarah Perkins,3,14,8,22,14,383,6,9,7,130,3,0,18,2020.0
326,Collingwood,Sarah Rowe,7,72,31,103,20,1315,27,17,0,430,5,1,31,2020.0
327,Richmond,Sarah Sansonetti,6,11,26,37,17,334,2,25,0,194,0,0,0,2020.0
328,North Melbourne,Sarah Wright,7,27,33,60,28,526,16,10,0,236,1,0,6,2020.0
329,Gold Coast,Serene Watson,7,49,16,65,32,1158,6,16,0,255,0,0,0,2020.0
330,Brisbane,Shannon Campbell,7,42,18,60,25,980,11,9,0,220,0,0,0,2020.0
331,Collingwood,Sharni Norder,7,27,44,71,49,603,17,19,120,424,3,1,19,2020.0
332,Brisbane,Sharni Webb,7,23,25,48,24,569,6,15,2,190,0,0,0,2020.0
333,Melbourne,Shelley Heath,4,15,15,30,14,584,7,15,0,145,0,0,0,2020.0
334,Melbourne,Shelley Scott,7,52,26,78,39,1400,28,26,3,428,5,5,35,2020.0
335,Melbourne,Sinéad Goldrick,6,12,37,49,25,598,3,7,0,136,0,1,1,2020.0
336,North Melbourne,Sophie Abbatangelo,7,44,31,75,40,1047,15,18,0,338,6,5,41,2020.0
337,Collingwood,Sophie Alexander,5,12,8,20,6,241,8,5,1,119,3,2,20,2020.0
338,Collingwood,Sophie Casey,7,22,21,43,17,593,7,12,0,164,1,0,6,2020.0
339,Brisbane,Sophie Conway,7,60,20,80,26,1576,23,31,0,418,2,3,15,2020.0
340,Adelaide,Sophie Li,5,21,13,34,17,415,7,11,0,144,0,0,0,2020.0
341,West Coast,Sophie McDonald,5,26,6,32,11,549,5,11,0,142,0,0,0,2020.0
342,Richmond,Sophie Molan,6,16,31,47,28,468,6,16,0,179,0,0,0,2020.0
343,Geelong,Sophie Van De Heuvel,6,26,10,36,11,646,9,8,0,150,0,0,0,2020.0
344,Collingwood,Stacey Livingstone,7,56,13,69,28,1493,17,11,2,275,0,0,0,2020.0
345,Collingwood,Steph Chiocci,7,59,50,109,25,1320,25,22,0,447,1,0,6,2020.0
346,Fremantle,Stephanie Cain,1,0,1,1,1,-8,0,0,0,2,0,0,0,2020.0
347,Adelaide,Stevie-Lee Thompson,6,27,15,42,30,780,6,11,0,177,3,2,20,2020.0
348,Brisbane,Tahlia Hickie,1,1,0,1,0,25,0,0,3,3,0,0,0,2020.0
349,North Melbourne,Tahlia Randall,7,45,10,55,17,1218,18,14,0,253,0,0,0,2020.0
350,North Melbourne,Tahni Nestor,6,26,17,43,16,443,8,21,0,211,0,0,0,2020.0
351,GWS Giants,Tait Mackrill,3,22,17,39,16,689,10,5,0,135,0,2,2,2020.0
352,West Coast,Talia Radan,6,16,13,29,12,345,3,10,0,114,0,0,0,2020.0
353,St Kilda,Tamara Luke,1,7,3,10,5,105,3,1,1,43,0,0,0,2020.0
354,GWS Giants,Tanya Hetherington,7,31,23,54,18,640,11,7,0,192,0,0,0,2020.0
355,West Coast,Tarnee Tester,4,10,8,18,10,216,5,5,0,78,1,0,6,2020.0
356,St Kilda,Tarni White,4,28,5,33,8,820,13,7,0,155,0,0,0,2020.0
357,Carlton,Tayla Harris,7,55,18,73,46,1564,26,17,10,386,8,5,53,2020.0
358,Richmond,Tayla Stahl,4,30,2,32,9,673,10,15,0,174,1,1,7,2020.0
359,Gold Coast,Tayla Thorn,3,16,7,23,16,482,3,6,0,93,0,0,0,2020.0
360,GWS Giants,Taylah Davies,2,7,12,19,8,207,2,5,0,65,0,0,0,2020.0
361,Gold Coast,Taylor Smith,1,3,7,10,6,35,1,1,4,32,0,0,0,2020.0
362,Melbourne,Tegan Cunningham,7,15,17,32,19,221,10,16,3,173,2,4,16,2020.0
363,Gold Coast,Tiarna Ernst,7,30,25,55,27,892,5,15,0,216,1,1,7,2020.0
364,St Kilda,Tilly Lucas-Rodd,6,55,24,79,25,1145,14,14,0,308,0,0,0,2020.0
365,Gold Coast,Tori Groves-Little,1,4,1,5,2,77,0,1,0,12,0,0,0,2020.0
366,Melbourne,Tyla Hanks,7,44,29,73,36,846,9,33,0,341,0,3,3,2020.0
367,Carlton,Vaomua Laloifi,7,44,34,78,34,629,25,8,0,305,0,0,0,2020.0
368,North Melbourne,Vivien Saad,7,30,37,67,51,523,14,17,52,278,0,0,0,2020.0
369,GWS Giants,Yvonne Bonner,4,20,5,25,10,464,9,5,0,101,1,1,7,2020.0
